[27369246][System][I] PWR 3.76V, -368ma
[27429257][System][I] PWR 3.76V, -365ma
[27489261][System][I] PWR 3.77V, -312ma
[27549268][System][I] PWR 3.76V, -305ma
[27609274][System][I] PWR 3.76V, -370ma
[27669280][System][I] PWR 3.77V, -304ma
[27729287][System][I] PWR 3.77V, -336ma
[27789297][System][I] PWR 3.77V, -303ma
[27849306][System][I] PWR 3.76V, -362ma
[27909313][System][I] PWR 3.77V, -344ma
[27969317][System][I] PWR 3.76V, -343ma
[28029327][System][I] PWR 3.76V, -337ma
[28089337][System][I] PWR 3.76V, -308ma
[28149346][System][I] PWR 3.76V, -372ma
[28209358][System][I] PWR 3.76V, -365ma
[28269363][System][I] PWR 3.76V, -359ma
[28329375][System][I] PWR 3.76V, -337ma
[28389387][System][I] PWR 3.76V, -310ma
[28449397][System][I] PWR 3.76V, -368ma
[28509404][System][I] PWR 3.76V, -308ma
[28569419][System][I] PWR 3.75V, -350ma
[28629423][System][I] PWR 3.76V, -312ma
[28689427][System][I] PWR 3.75V, -354ma
[28749442][System][I] PWR 3.75V, -371ma
[28809450][System][I] PWR 3.76V, -342ma
[28869459][System][I] PWR 3.76V, -367ma
[28929469][System][I] PWR 3.76V, -302ma
[28989474][System][I] PWR 3.75V, -369ma
[29049486][System][I] PWR 3.75V, -374ma
[29109493][System][I] PWR 3.75V, -363ma
[29169501][System][I] PWR 3.75V, -365ma
[29229510][System][I] PWR 3.75V, -337ma
[29289516][System][I] PWR 3.76V, -309ma
[29349528][System][I] PWR 3.75V, -362ma
[29409541][System][I] PWR 3.76V, -301ma
[29469547][System][I] PWR 3.75V, -377ma
[29529551][System][I] PWR 3.75V, -386ma
[29589555][System][I] PWR 3.75V, -376ma
[29649565][System][I] PWR 3.76V, -306ma
[29709576][System][I] PWR 3.75V, -320ma
[29769583][System][I] PWR 3.75V, -305ma
[29829590][System][I] PWR 3.75V, -309ma
[29889603][System][I] PWR 3.74V, -370ma
[29949612][System][I] PWR 3.74V, -370ma
[30009621][System][I] PWR 3.75V, -368ma
[30069626][System][I] PWR 3.74V, -376ma
[30129638][System][I] PWR 3.75V, -306ma
[30189645][System][I] PWR 3.74V, -358ma
[30249652][System][I] PWR 3.74V, -342ma
[30309660][System][I] PWR 3.75V, -315ma
[30369665][System][I] PWR 3.75V, -306ma
[30429670][System][I] PWR 3.74V, -381ma
[30489681][System][I] PWR 3.74V, -375ma
[30549693][System][I] PWR 3.74V, -364ma
[30609698][System][I] PWR 3.74V, -331ma
[30669710][System][I] PWR 3.75V, -335ma
[30729721][System][I] PWR 3.74V, -377ma
[30789732][System][I] PWR 3.75V, -309ma
[30849736][System][I] PWR 3.74V, -374ma
[30909745][System][I] PWR 3.75V, -305ma
[30969749][System][I] PWR 3.74V, -371ma
[31029754][System][I] PWR 3.74V, -370ma
[31089764][System][I] PWR 3.75V, -308ma
[31149774][System][I] PWR 3.74V, -340ma
[31209785][System][I] PWR 3.74V, -381ma
[31269793][System][I] PWR 3.74V, -357ma
[31329804][System][I] PWR 3.74V, -302ma
[31389815][System][I] PWR 3.74V, -318ma
[31449828][System][I] PWR 3.74V, -318ma
[31509835][System][I] PWR 3.74V, -315ma
[31569842][System][I] PWR 3.73V, -365ma
[31629851][System][I] PWR 3.73V, -368ma
[31689860][System][I] PWR 3.74V, -307ma
[31749871][System][I] PWR 3.74V, -306ma
[31809877][System][I] PWR 3.74V, -340ma
[31869887][System][I] PWR 3.74V, -303ma
[31929898][System][I] PWR 3.73V, -373ma
[31989903][System][I] PWR 3.74V, -312ma
[32049913][System][I] PWR 3.74V, -304ma
[32109927][System][I] PWR 3.73V, -382ma
[32169941][System][I] PWR 3.73V, -380ma
[32229946][System][I] PWR 3.74V, -337ma
[32289956][System][I] PWR 3.73V, -375ma
[32349960][System][I] PWR 3.74V, -308ma
[32409971][System][I] PWR 3.73V, -366ma
[32469985][System][I] PWR 3.73V, -362ma
[32529995][System][I] PWR 3.74V, -332ma
[32590004][System][I] PWR 3.73V, -368ma
[32650016][System][I] PWR 3.73V, -320ma
[32710024][System][I] PWR 3.73V, -375ma
[32770035][System][I] PWR 3.74V, -317ma
[32830038][System][I] PWR 3.73V, -365ma
[32890046][System][I] PWR 3.73V, -376ma
[32950053][System][I] PWR 3.73V, -309ma
[33010061][System][I] PWR 3.72V, -362ma
[33070071][System][I] PWR 3.73V, -366ma
[33130075][System][I] PWR 3.73V, -362ma
[33190081][System][I] PWR 3.72V, -360ma
[33250094][System][I] PWR 3.72V, -303ma
[33310105][System][I] PWR 3.72V, -368ma
[33370109][System][I] PWR 3.72V, -372ma
[33430118][System][I] PWR 3.73V, -354ma
[33490125][System][I] PWR 3.73V, -303ma
[33550136][System][I] PWR 3.73V, -304ma
[33610144][System][I] PWR 3.73V, -301ma
[33670158][System][I] PWR 3.73V, -299ma
[33730166][System][I] PWR 3.72V, -376ma
[33790179][System][I] PWR 3.73V, -302ma
[33850191][System][I] PWR 3.72V, -360ma
[33910196][System][I] PWR 3.72V, -362ma
[33970200][System][I] PWR 3.72V, -350ma
[34030205][System][I] PWR 3.72V, -381ma
[34090217][System][I] PWR 3.72V, -335ma
[34150229][System][I] PWR 3.73V, -313ma
[34210234][System][I] PWR 3.72V, -377ma
[34270247][System][I] PWR 3.72V, -367ma
[34330252][System][I] PWR 3.72V, -375ma
[34390266][System][I] PWR 3.73V, -301ma
[34450281][System][I] PWR 3.72V, -345ma
[34510291][System][I] PWR 3.73V, -325ma
[34570303][System][I] PWR 3.73V, -304ma
[34630312][System][I] PWR 3.72V, -325ma
[34690324][System][I] PWR 3.72V, -372ma
[34750330][System][I] PWR 3.73V, -306ma
[34810342][System][I] PWR 3.71V, -383ma
[34870352][System][I] PWR 3.72V, -326ma
[34930360][System][I] PWR 3.72V, -322ma
[34990371][System][I] PWR 3.71V, -365ma
[35050379][System][I] PWR 3.71V, -308ma
[35110390][System][I] PWR 3.72V, -316ma
[35170396][System][I] PWR 3.71V, -382ma
[35230402][System][I] PWR 3.72V, -309ma
[35290411][System][I] PWR 3.72V, -323ma
[35350416][System][I] PWR 3.71V, -372ma
[35410421][System][I] PWR 3.72V, -307ma
[35470434][System][I] PWR 3.72V, -314ma
[35530439][System][I] PWR 3.71V, -375ma
[35590450][System][I] PWR 3.71V, -366ma
[35650460][System][I] PWR 3.72V, -323ma
[35710469][System][I] PWR 3.71V, -381ma
[35770472][System][I] PWR 3.71V, -369ma
[35830487][System][I] PWR 3.71V, -368ma
[35890495][System][I] PWR 3.71V, -359ma
[35950505][System][I] PWR 3.72V, -352ma
[36010509][System][I] PWR 3.71V, -368ma
[36070530][System][I] PWR 3.72V, -311ma
[36130541][System][I] PWR 3.72V, -311ma
[36190545][System][I] PWR 3.71V, -376ma
[36250554][System][I] PWR 3.71V, -382ma
[36310561][System][I] PWR 3.71V, -384ma
[36370573][System][I] PWR 3.71V, -373ma
